R.Shift,azeite_oliva,azeite_oliva1,azeite_oliva2,oleo_canola media,oleo_canola1,oleo_canola2,oleo_girassol media,oleo_girassol1,oleo_girassol2,oleo_maria media,oleo_maria1,oleo_maria2,oleo_milho media,oleo_milho1,oleo_milho2,oleo_soja media,oleo_soja1,oleo_soja2
498.909,-0.000704278,-0.00075631,-0.000652246,-0.000712243,-0.000779395,-0.00064509,-0.000709901,-0.000837402,-0.000582399,-0.000557524,-0.000644579,-0.000470468,-0.000782258,-0.000686127,-0.00087839,-0.000708012,-0.000668819,-0.000747204
500.916,-0.000781448,-0.000851201,-0.000711694,-0.000741001,-0.000857613,-0.000624389,-0.000731703,-0.000828173,-0.000635233,-0.000541922,-0.000575362,-0.000508482,-0.000773234,-0.000718473,-0.000827996,-0.000654432,-0.000617505,-0.00069136
502.921,-0.000816464,-0.000831514,-0.000801414,-0.000742506,-0.000891443,-0.000593569,-0.000738308,-0.000810433,-0.000666183,-0.000561414,-0.000579845,-0.000542983,-0.000736388,-0.000691763,-0.000781012,-0.000612629,-0.00056633,-0.000658929
504.926,-0.000806271,-0.000831289,-0.000781254,-0.000670311,-0.000750291,-0.00059033,-0.00075446,-0.000786292,-0.000722629,-0.000541604,-0.000576316,-0.000506891,-0.000742851,-0.000718373,-0.000767329,-0.000625341,-0.00063857,-0.000612111
506.93,-0.000799209,-0.000857609,-0.000740809,-0.000669191,-0.000763682,-0.000574701,-0.000794661,-0.000819167,-0.000770155,-0.000528843,-0.000582536,-0.000475149,-0.000756542,-0.000710538,-0.000802546,-0.000611452,-0.000704131,-0.000518773
508.933,-0.00074691,-0.000750742,-0.000743079,-0.000595089,-0.000697814,-0.000492363,-0.000866713,-0.000859705,-0.000873721,-0.000550045,-0.000567474,-0.000532615,-0.000730411,-0.000632408,-0.000828414,-0.000625761,-0.000824801,-0.00042672
510.935,-0.000743581,-0.000793925,-0.000693236,-0.000593728,-0.000655253,-0.000532204,-0.000766848,-0.00080357,-0.000730126,-0.000603792,-0.00060749,-0.000600093,-0.000663706,-0.00046823,-0.000859182,-0.000659726,-0.000873106,-0.000446346
512.937,-0.000677946,-0.000711439,-0.000644453,-0.000560011,-0.000580084,-0.000539938,-0.000737346,-0.000721178,-0.000753514,-0.000647047,-0.000684127,-0.000609966,-0.000613915,-0.000321878,-0.000905951,-0.000668762,-0.000853934,-0.00048359
514.937,-0.0007024,-0.000793297,-0.000611503,-0.000544633,-0.000486218,-0.000603047,-0.000767671,-0.000739804,-0.000795537,-0.000620981,-0.000659491,-0.000582471,-0.000659708,-0.000462871,-0.000856545,-0.000695255,-0.00076087,-0.000629639
516.937,-0.000711063,-0.000794192,-0.000627935,-0.000586429,-0.000514801,-0.000658057,-0.000707697,-0.000670328,-0.000745066,-0.00065812,-0.000668375,-0.000647865,-0.000584197,-0.000462666,-0.000705729,-0.00064392,-0.00066499,-0.000622851
518.935,-0.000725197,-0.000742288,-0.000708106,-0.000542121,-0.000462005,-0.000622237,-0.000661602,-0.00056498,-0.000758224,-0.000713169,-0.000708745,-0.000717592,-0.00060454,-0.00055697,-0.00065211,-0.000695108,-0.000641274,-0.000748942
520.933,-0.000684749,-0.000684588,-0.000684909,-0.000588479,-0.000520744,-0.000656213,-0.000679993,-0.000584129,-0.000775857,-0.000705682,-0.000773551,-0.000637812,-0.000626182,-0.00063614,-0.000616224,-0.000755714,-0.000713704,-0.000797723
522.93,-0.000679407,-0.00065182,-0.000706994,-0.000647474,-0.0007044,-0.000590548,-0.000703921,-0.000657643,-0.0007502,-0.000695232,-0.000740131,-0.000650333,-0.0006639,-0.000762775,-0.000565025,-0.000752474,-0.000754301,-0.000750647
524.926,-0.000673452,-0.000598368,-0.000748535,-0.000607361,-0.000726214,-0.000488509,-0.00078065,-0.000732117,-0.000829183,-0.000641566,-0.000642577,-0.000640555,-0.000658049,-0.000694901,-0.000621197,-0.000739446,-0.000764625,-0.000714267
526.921,-0.000660858,-0.000545497,-0.000776219,-0.000692418,-0.000879111,-0.000505726,-0.000777039,-0.000810648,-0.000743431,-0.000665895,-0.000674578,-0.000657211,-0.000732444,-0.000715051,-0.000749837,-0.000773229,-0.000848353,-0.000698104
528.916,-0.000564094,-0.000511903,-0.000616285,-0.000729448,-0.000865248,-0.000593647,-0.000858716,-0.000920423,-0.00079701,-0.000576857,-0.000608832,-0.000544883,-0.000730988,-0.000636338,-0.000825638,-0.000744281,-0.000872096,-0.000616467
530.909,-0.000712954,-0.000695612,-0.000730296,-0.000799929,-0.000908171,-0.000691688,-0.00090545,-0.000990564,-0.000820337,-0.000590631,-0.000647549,-0.000533714,-0.000891687,-0.000787314,-0.00099606,-0.000739408,-0.000811509,-0.000667308
532.902,-0.000793478,-0.000813164,-0.000773792,-0.000811549,-0.000858848,-0.000764251,-0.000916964,-0.00103959,-0.000794337,-0.000670683,-0.000668024,-0.000673342,-0.000891876,-0.00081951,-0.000964242,-0.000712962,-0.000789157,-0.000636766
